Province/State,Country/Region,Lat,Long,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/18/20,3/19/20,3/20/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20
,DF,-15.46,-47.55,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,8,14,19,34,42,87,117,138,169,169,202,272,291,329,343,364,364
,Brasil,,,2,2,2,2,4,4,13,13,20,25,31,38,52,151,151,162,200,321,372,621,793,1021,1546,1924,2247,2554,2985,3417,3904,4256,4579,5717
